dataset_id,dataset_name,size,type,dataset_task,feature_count,domain,description ,numeric_features,cat_features,NaN Values,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,data_type,description,num_classes,task_type,image_width,image_height,channels,avg_doc_length,vocab_size,max_length,series_length,num_channels,sampling_rate,NaN_values,has_masks,has_rationales,has_bboxes,ground_truth_type,download_link,citation,license,source,paper_reference,year_published
380,YouTube Spam Collection,1956,Text,Classification,3.0,Computer Science,"Additional Information: The table below lists the datasets, the YouTube video ID, the amount of samples in each class and the total number of samples per dataset. Dataset --- YouTube ID -- # Spam - # Ham - Total Psy ------- 9bZkp7q19f0 --- 175 --- 175 --- 350 KatyPerry - CevxZvSJLk8 --- 175 --- 175 --- 350 LMFAO ----- KQ6zr6kCPj8 --- 236 --- 202 --- 438 Eminem ---- uelHwf8o7_U --- 245 --- 203 --- 448 Shakira --- pRpeEdMmmQ0 --- 174 --- 196 --- 370 Note: the chronological order of the comments were kept. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
329,Diabetic Retinopathy Debrecen,1151,Multivariate,Classification,19.0,Health and Medicine,"What do the instances in this dataset represent?: Medical patients Additional Information: This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not. All features represent either a detected lesion, a descriptive feature of a anatomical part or an image-level descriptor. The underlying method image analysis and feature extraction as well as our classification technique is described in Antal and Hajdu, Knowledge-Based Systems, 2014. The image set (Messidor) is available at http://messidor.crihan.fr/index-en.php. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
22,Chess (King-Rook vs. King-Pawn),3196,Multivariate,Classification,35.0,Games,Additional Information: The dataset format is described below.  Note: the format of this database was modified on 2/26/90 to conform with the format of all the other databases in the UCI repository of machine learning databases. Has Missing Values?: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
75,Musk (Version 2),6598,Multivariate,Classification,166.0,Physics and Chemistry,"Additional Information: This dataset describes a set of 102 molecules of which 39 are judged by human experts to be musks and the remaining 63 molecules are judged to be non-musks.  The goal is to learn to predict whether new molecules will be musks or non-musks.  However, the 166 features that describe these molecules depend upon the exact shape, or conformation, of the molecule.  Because bonds can rotate, a single molecule can adopt many different shapes.  To generate this data set, all the low-energy conformations of the molecules were generated to produce 6,598 conformations.  Then, a feature vector was extracted that describes each conformation. This many-to-one relationship between feature vectors and molecules is called the ""multiple instance problem"".  When learning a classifier for this data, the classifier should classify a molecule as ""musk"" if ANY of its conformations is classified as a musk.  A molecule should be classified as ""non-musk"" if NONE of its conformations is classified as a musk. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
186,Wine Quality,4898,Multivariate,"Classification, Regression",11.0,Business,"Additional Information: The two datasets are related to red and white variants of the Portuguese ""Vinho Verde"" wine. For more details, consult: http://www.vinhoverde.pt/en/ or the reference [Cortez et al., 2009].  Due to privacy and logistic issues, only physicochemical (inputs) and sensory (the output) variables are available (e.g. there is no data about grape types, wine brand, wine selling price, etc.). These datasets can be viewed as classification or regression tasks.  The classes are ordered and not balanced (e.g. there are many more normal wines than excellent or poor ones). Outlier detection algorithms could be used to detect the few excellent or poor wines. Also, we are not sure if all input variables are relevant. So it could be interesting to test feature selection methods. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
468,Online Shoppers Purchasing Intention Dataset,12330,Multivariate,"Classification, Clustering",17.0,Business,"Additional Information: The dataset consists of feature vectors belonging to 12,330 sessions. The dataset was formed so that each session would belong to a different user in a 1-year period to avoid any tendency to a specific campaign, special day, user profile, or period. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
184,Acute Inflammations,120,Multivariate,Classification,6.0,Health and Medicine,"Additional Information: The main idea of this data set is to prepare the algorithm of the expert system, which will perform the presumptive diagnosis of two diseases of urinary system. It will be the example of diagnosing of the acute inflammations of urinary bladder and acute nephritises. For better understanding of the problem let us consider definitions of both diseases given by medics. Acute inflammation of urinary bladder is characterised by sudden occurrence of pains in the abdomen region and the urination in form of constant urine pushing, micturition pains and sometimes lack of urine keeping. Temperature of the body is rising, however most often not above 38C. The excreted urine is turbid and sometimes bloody. At proper treatment, symptoms decay usually within several days. However, there is inclination to returns. At persons with acute inflammation of urinary bladder, we should expect that the illness will turn into protracted form. Acute nephritis of renal pelvis origin occurs considerably more often at women than at men. It begins with sudden fever, which reaches, and sometimes exceeds 40C. The fever is accompanied by shivers and one- or both-side lumbar pains, which are sometimes very strong. Symptoms of acute inflammation of urinary bladder appear very often. Quite not infrequently there are nausea and vomiting and spread pains of whole abdomen. The data was created by a medical expert as a data set to test the expert system, which will perform the presumptive diagnosis of two diseases of urinary system.  The basis for rules detection was Rough Sets Theory.  Each instance represents an potential patient. The data is in an ASCII file. Attributes are separated by TAB. Each line of the data file starts with a digit which tells the temperature of patient. -- Attribute lines: For example, '35,9",Temperature of patient 'no',Occurrence of nausea 'no',Lumbar pain 'yes',Urine pushing (continuous need for urination) 'yes',Micturition pains 'yes',"Burning of urethra, itch, swelling of urethra outlet 'yes'",decision: Inflammation of urinary bladder 'no',"decision: Nephritis of renal pelvis origin Has Missing Values?: No""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
374,Appliances Energy Prediction,19735,"Multivariate, Time-Series",Regression,28.0,Computer Science,"Additional Information: The data set is at 10 min for about 4.5 months. The house temperature and humidity conditions were monitored with a ZigBee wireless sensor network. Each wireless node transmitted the temperature and humidity conditions around 3.3 min. Then, the wireless data was averaged for 10 minutes periods. The energy data was logged every 10 minutes with m-bus energy meters. Weather from the nearest airport weather station (Chievres Airport, Belgium) was downloaded from a public data set from Reliable Prognosis (rp5.ru), and merged together with the experimental data sets using the date and time column. Two random variables have been included in the data set for testing the regression models and to filter out non predictive attributes (parameters). For more information about the house, data collection, R scripts and figures, please refer to the paper and to the following github repository:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
467,Student Academics Performance,300,Multivariate,Classification,22.0,Computer Science,Additional Information: Student Academic Performance Dataset Has Missing Values?: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
445,Absenteeism at work,740,"Multivariate, Time-Series","Classification, Clustering",19.0,Business,"Additional Information: The data set allows for several new combinations of attributes and attribute exclusions, or the modification of the attribute type (categorical, integer, or real) depending on the purpose of the research.The data set (Absenteeism at work - Part I) was used in academic research at the Universidade Nove de Julho - Postgraduate Program in Informatics and Knowledge Management. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
763,Land Mines,338,"Tabular, Multivariate, Other","Classification, Clustering",3.0,Engineering,"For what purpose was the dataset created?: PhD thesis Who funded the creation of the dataset?: Cemal YILMAZ Department of Electrical and Electronics Engineering, Gazi University, Ankara, Turkey, cemal@gazi.edu.tr Hamdi Tolga Kahraman Department of Software Engineering, Karadeniz Technical University, Trabzon,Turkey htolgakahraman@ktu.edu.tr Salih Soyler Institute of Science, Gazi University, Ankara, Turkey salih_sogler@yahoo.com What do the instances in this dataset represent?: Land Mines Are there recommended data splits?: no Does the dataset contain data that might be considered sensitive in any way?: No Was there any data preprocessing performed?: processing of missing Additional Information: Yilmaz, C., Kahraman, H. T., & Söyler, S. (2018). Passive mine detection and classification method based on hybrid model. IEEE Access, 6, 47870-47888. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
890,AIDS Clinical Trials Group Study 175,2139,"Tabular, Multivariate","Classification, Regression",23.0,Health and Medicine,For what purpose was the dataset created?: To examine the performance of two different types of AIDS treatments Who funded the creation of the dataset?: - AIDS Clinical Trials Group of the National Institute of Allergy and Infectious Diseases - General Research Center units funded by the National Center for Research Resources What do the instances in this dataset represent?: - Health records - AIDS patients - US only Are there recommended data splits?: Cross validation or a single train-test split could be used. Does the dataset contain data that might be considered sensitive in any way?: - Ethnicity (race) - Gender Was there any data preprocessing performed?: No Has Missing Values?: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
488,Facebook Live Sellers in Thailand,7051,Multivariate,Clustering,11.0,Business,"Additional Information: The variability of consumer engagement is analysed through a Principal Component Analysis, highlighting the changes induced by the use of Facebook Live. The seasonal component is analysed through a study of the averages of the different engagement metrics for different time-frames (hourly, daily and monthly). Finally, we identify statistical outlier posts, that are qualitatively analyzed further, in terms of their selling approach and activities. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
47,Horse Colic,368,Multivariate,Classification,27.0,Biology,"Additional Information: 2 data files: -- horse-colic.data: 300 training instances -- horse-colic.test: 68 test instances Possible class attributes: 24 (whether lesion is surgical) -- others include: 23, 25, 26, and 27 Many Data types: (continuous, discrete, and nominal) Has Missing Values?: Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
332,Online News Popularity,39797,Multivariate,"Classification, Regression",58.0,Business,"Additional Information: * The articles were published by Mashable (www.mashable.com) and their content as the rights to reproduce it belongs to them. Hence, this dataset does not share the original content but some statistics associated with it. The original content be publicly accessed and retrieved using the provided urls. * Acquisition date: January 8, 2015 * The estimated relative performance values were estimated by the authors using a Random Forest classifier and a rolling windows as assessment method.  See their article for more details on how the relative performance values were set. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
849,Power Consumption of Tetouan City,52417,"Multivariate, Time-Series",Regression,6.0,Social Science,Has Missing Values?: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
32,Cylinder Bands,512,Multivariate,Classification,39.0,Physics and Chemistry,"Additional Information: Here's the abstract from the above reference: ABSTRACT: Machine learning tools show significant promise for knowledge acquisition, particularly when human expertise is inadequate. Recently, process delays known as cylinder banding in rotogravure printing were substantially mitigated using control rules discovered by decision tree induction. Our work exemplifies a more general methodology which transforms the knowledge acquisition task from one in which rules are directly elicited from an expert, to one in which a learning system is responsible for rule generation. The primary responsibilities of the human expert are to evaluate the merits of generated rules, and to guide the acquisition and classification of data necessary for machine induction. These responsibilities require the expert to do what an expert does best: to exercise his or her expertise. This seems a more natural fit to an expert's capabilities than the requirements of traditional methodologies that experts explicitly enumerate the rules that they employ. Has Missing Values?: Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
270,Gas Sensor Array Drift at Different Concentrations,13910,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",128.0,Computer Science,"Additional Information: This data set contains 13,910 measurements from 16 chemical sensors exposed to 6 gases at different concentration levels. This dataset is an extension of the Gas Sensor Array Drift Dataset (http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset), providing now the information about the concentration level at which the sensors were exposed for each measurement. The primary purpose of making this dataset freely accessible on-line is to provide an extensive dataset to the sensor and artificial intelligence research communities to develop and test strategies to solve a wide variety of tasks, including sensor drift, classification, regression, among others. The dataset can be used exclusively for research purposes. Commercial purposes are fully excluded. Citation of both Vergara et al. 'Chemical gas sensor drift compensation using classifier ensembles' and Rodriguez-Lujan et al. â€œOn the calibration of sensor arrays for pattern recognition using the minimal number of experimentsâ€ is required (see below). The dataset was gathered during the period of January 2008 to February 2011 (36 months) in a gas delivery platform facility situated at the ChemoSignals Laboratory in the BioCircuits Institute, University of California San Diego. The measurement system platform provides versatility for obtaining the desired concentrations of the chemical substances of interest with high accuracy and in a highly reproducible manner, minimizing thereby the common mistakes caused by human intervention and making it possible to exclusively concentrate on the chemical sensors. See reference 1 for more details on the experimental setup. The resulting dataset comprises recordings from six distinct pure gaseous substances, namely Ammonia, Acetaldehyde, Acetone, Ethylene, Ethanol, and Toluene, dosed at a wide variety of concentration levels in the intervals (50,1000), (5,500), (12,1000), (10,300), (10,600), and (10,100) ppmv, respectively. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
28,Japanese Credit Screening,125,"Multivariate, Domain-Theory",Classification,15.0,Business,Additional Information: Examples represent positive and negative instances of people who were and were not  granted credit. The theory was generated by talking to the individuals at a Japanese company that grants credit. Has Missing Values?: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
492,Metro Interstate Traffic Volume,48204,"Multivariate, Sequential, Time-Series",Regression,8.0,Other,"Additional Information: Hourly Interstate 94 Westbound traffic volume for MN DoT ATR station 301, roughly midway between Minneapolis and St Paul, MN. Hourly weather features and holidays included for impacts on traffic volume. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
15,Breast Cancer Wisconsin (Original),699,Multivariate,Classification,9.0,Health and Medicine,"Additional Information: Samples arrive periodically as Dr. Wolberg reports his clinical cases. The database therefore reflects this chronological grouping of the data. This grouping information appears immediately below, having been removed from the data itself: Group 1: 367 instances (January 1989) Group 2:  70 instances (October 1989) Group 3:  31 instances (February 1990) Group 4:  17 instances (April 1990) Group 5:  48 instances (August 1990) Group 6:  49 instances (Updated January 1991) Group 7:  31 instances (June 1991) Group 8:  86 instances (November 1991) ----------------------------------------- Total:   699 points (as of the donated datbase on 15 July 1992) Note that the results summarized above in Past Usage refer to a dataset of size 369, while Group 1 has only 367 instances.  This is because it originally contained 369 instances; 2 were removed.  The following statements summarizes changes to the original Group 1's set of data: #####  Group 1 : 367 points: 200B 167M (January 1989) #####  Revised Jan 10, 1991: Replaced zero bare nuclei in 1080185 & 1187805 #####  Revised Nov 22,1991: Removed 765878,4,5,9,7,10,10,10,3,8,1 no record #####                  : Removed 484201,2,7,8,8,4,3,10,3,4,1 zero epithelial #####                  : Changed 0 to 1 in field 6 of sample 1219406 #####                  : Changed 0 to 1 in field 8 of following sample: #####                  : 1182404,2,3,1,1,1,2,0,1,1,1 Has Missing Values?: Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
529,Early Stage Diabetes Risk Prediction,520,Multivariate,Classification,16.0,Computer Science,"Additional Information: This has been col- lected using direct questionnaires from the patients of Sylhet Diabetes Hospital in Sylhet, Bangladesh and approved by a doctor. Has Missing Values?: Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
53,Iris,150,Tabular,Classification,4.0,Biology,"What do the instances in this dataset represent?: Each instance is a plant Additional Information: This is one of the earliest datasets used in the literature on classification methods and widely used in statistics and machine learning.  The data set contains 3 classes of 50 instances each, where each class refers to a type of iris plant.  One class is linearly separable from the other 2; the latter are not linearly separable from each other. Predicted attribute: class of iris plant. This is an exceedingly simple domain. This data differs from the data presented in Fishers article (identified by Steve Chadwick,  spchadwick@espeedaz.net ).  The 35th sample should be: 4.9,3.1,1.5,0.2,""Iris-setosa"" where the error is in the fourth feature. The 38th sample: 4.9,3.6,1.4,0.1,""Iris-setosa"" where the errors are in the second and third features. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
275,Bike Sharing,17389,Multivariate,Regression,13.0,Social Science,"Additional Information: Bike sharing systems are new generation of traditional bike rentals where whole process from membership, rental and return back has become automatic. Through these systems, user is able to easily rent a bike from a particular position and return back at another position. Currently, there are about over 500 bike-sharing programs around the world which is composed of over 500 thousands bicycles. Today, there exists great interest in these systems due to their important role in traffic, environmental and health issues. Apart from interesting real world applications of bike sharing systems, the characteristics of data being generated by these systems make them attractive for the research. Opposed to other transport services such as bus or subway, the duration of travel, departure and arrival position is explicitly recorded in these systems. This feature turns bike sharing system into a virtual sensor network that can be used for sensing mobility in the city. Hence, it is expected that most of important events in the city could be detected via monitoring these data. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
760,Multivariate Gait Data,181800,"Sequential, Multivariate, Time-Series","Classification, Regression, Clustering",7.0,Health and Medicine,"For what purpose was the dataset created?: Biomechanical analysis of human locomotion Who funded the creation of the dataset?: National Science Foundation (#0540834) and Mary Jane Neer Disability Research Fund at the University of Illinois Additional Information: This dataset is a six dimensional array of joint angle data: 10 subjects x 3 conditions x 10 replications x 2 legs x 3 joints x 101 time points. The data were recored from ten subjects under three different conditions: normal (unbraced) walking on a treadmill, walking on a treadmill with a knee-brace on the right knee, and walking on a treadmill with an ankle brace on the right ankle. For each subject in each condition, ten consecutive gait cycles (replications) are included, where each gait cycle starts and ends at heel-strike. For each gait cycle, the data were normalized to consist of 101 time points representing 0%,…,100% of the gait cycle. Six joint angles are included, which comprise all combinations of leg (left and right) and joint (ankle, knee, hip). The data were collected at the Human Dynamics and Controls Laboratory at the University of Illinois at Urbana-Champaign. Details of the experimental setup can be found in Shorter et al. (2008). Details on the data preprocessing can be found in Helwig et al. (2011). The data were published as supplementary materials by Helwig et al. (2016). Attribute Information: 1. subject: 1 = subject 1, …, 10 = subject 10 (integer) 2. condition: 1 = unbraced, 2 = knee brace, 3 = ankle brace (integer) 3. replication: 1 = replication 1, …, 10 = replication 10 (integer) 4. leg: 1 = left, 2 = right (integer) 5. joint: 1 = ankle, 2 = knee, 3 = hip (integer) 6. time: 0 = 0% gait cycle, …, 100 = 100% gait cycle (integer) 7. angle: joint angle in degrees (real valued) Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
390,Stock Portfolio Performance,315,Multivariate,Regression,12.0,Business,"Additional Information: There are three disadvantages of weighted scoring stock selection models. First, they cannot identify the relations between weights of stock-picking concepts and performances of portfolios. Second, they cannot systematically discover the optimal combination for weights of concepts to optimize the performances. Third, they are unable to meet various investorsâ€™ preferences. This study aims to more efficiently construct weighted scoring stock selection models to overcome these disadvantages. Since the weights of stock-picking concepts in a weighted scoring stock selection model can be regarded as components in a mixture, we used the simplex centroid mixture design to obtain the experimental sets of weights. These sets of weights are simulated with US stock market historical data to obtain their performances. Performance prediction models were built with the simulated performance data set and artificial neural networks. Furthermore, the optimization models to reflect investorsâ€™ preferences were built up, and the performance prediction models were employed as the kernel of the optimization models so that the optimal solutions can now be solved with optimization techniques. The empirical values of the performances of the optimal weighting combinations generated by the optimization models showed that they can meet various investorsâ€™ preferences and outperform those of S&Pâ€™s 500 not only during the training period but also during the testing period. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
146,Statlog (Landsat Satellite),6435,Multivariate,Classification,36.0,Climate and Environment,"Additional Information: The database consists of the multi-spectral values of pixels in 3x3 neighbourhoods in a satellite image, and the classification associated with the central pixel in each neighbourhood. The aim is to predict this classification, given the multi-spectral values. In the sample database, the class of a pixel is coded as a number. The Landsat satellite data is one of the many sources of information available for a scene. The interpretation of a scene by integrating spatial data of diverse types and resolutions including multispectral and radar data, maps indicating topography, land use etc. is expected to assume significant importance with the onset of an era characterised by integrative approaches to remote sensing (for example, NASA's Earth Observing System commencing this decade). Existing statistical methods are ill-equipped for handling such diverse data types. Note that this is not true for Landsat MSS data considered in isolation (as in this sample database). This data satisfies the important requirements of being numerical and at a single resolution, and standard maximum-likelihood classification performs very well. Consequently, for this data, it should be interesting to compare the performance of other methods against the statistical approach. One frame of Landsat MSS imagery consists of four digital images of the same scene in different spectral bands. Two of these are in the visible region (corresponding approximately to green and red regions of the visible spectrum) and two are in the (near) infra-red. Each pixel is a 8-bit binary word, with 0 corresponding to black and 255 to white. The spatial resolution of a pixel is about 80m x 80m. Each image contains 2340 x 3380 such pixels. The database is a (tiny) sub-area of a scene, consisting of 82 x 100 pixels. Each line of data corresponds to a 3x3 square neighbourhood of pixels completely contained within the 82x100 sub-area. Each line contains the pixel values in the four spectral bands (converted to ASCII) of each of the 9 pixels in the 3x3 neighbourhood and a number indicating the classification label of the central pixel. The number is a code for the following classes: Number",,cotton crop 3,,,grey soil 4,,,damp grey soil 5,,,soil with vegetation stubble 6,,,mixture class (all types present) 7,,,"very damp grey soil NB. There are no examples with class 6 in this dataset. The data is given in random order and certain lines of data have been removed so you cannot reconstruct the original image from this dataset. In each line of data the four spectral values for the top-left pixel are given first followed by the four spectral values for the top-middle pixel and then those for the top-right pixel, and so on with the pixels read out in sequence left-to-right and top-to-bottom. Thus, the four spectral values for the central pixel are given by attributes 17,18,19 and 20. If you like you can use only these four attributes, while ignoring the others. This avoids the problem which arises when a 3x3 neighbourhood straddles a boundary. Has Missing Values?: No""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
464,Superconductivty Data,21263,Multivariate,Regression,81.0,Physics and Chemistry,"Additional Information: There are two files: (1) train.csv contains 81 features extracted from 21263 superconductors along with the critical temperature in the 82nd column, (2) unique_m.csv contains the chemical formula broken up for all the 21263 superconductors from the train.csv file.  The last two columns have the critical temperature and chemical formula.  The original data comes from http://supercon.nims.go.jp/index_en.html which is public.  The goal here is to predict the critical temperature based on the features extracted. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
560,Seoul Bike Sharing Demand,8760,Multivariate,Regression,13.0,Business,"Additional Information: Currently Rental bikes are introduced in many urban cities for the enhancement of mobility comfort. It is important to make the rental bike available and accessible to the public at the right time as it lessens the waiting time. Eventually, providing the city with a stable supply of rental bikes becomes a major concern. The crucial part is the prediction of bike count required at each hour for the stable supply of rental bikes. The dataset contains weather information (Temperature, Humidity, Windspeed, Visibility, Dewpoint, Solar radiation, Snowfall, Rainfall), the number of bikes rented per hour and date information. Has Missing Values?: No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
172,Ozone Level Detection,2536,"Multivariate, Sequential, Time-Series",Classification,72.0,Climate and Environment,"Additional Information: For a list of attributes, please refer to those two .names files.  They use the following naming convention: All the attribute start with T means the temperature measured at different time throughout the day; and those starts with WS indicate the wind speed at various time. WSR_PK:     continuous. peek wind speed -- resultant (meaning average of wind vector) WSR_AV:     continuous. average wind speed T_PK:     continuous. Peak T T_AV:     continuous. Average T T85:     continuous. T at 850 hpa level (or about 1500 m height) RH85:     continuous. Relative Humidity at 850 hpa U85:     continuous. (U wind - east-west direction wind at 850 hpa) V85:     continuous. V wind - N-S direction wind at 850 HT85:     continuous. Geopotential height at 850 hpa, it is about the same as height at low altitude T70:     continuous. T at 700 hpa level (roughly 3100 m height) RH70:     continuous. U70:     continuous. V70:     continuous. HT70:     continuous. T50:     continuous. T at 500 hpa level (roughly at 5500 m height) RH50:     continuous. U50:     continuous. V50:     continuous. HT50:     continuous. KI:     continuous. K-Index http://www.weather.gov/glossary/index.php?letter=k TT:     continuous. T-Totals http://www.theweatherprediction.com/habyhints/302/ SLP:     continuous. Sea level pressure SLP_:     continuous. SLP change from previous day Precp:    continuous. -- precipitation Has Missing Values?: Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,,
